material_number,fiscal_month,pcf_amt,pcf_units
DT06-6S-C015,2024M3,44284,52458
DT06-6S-CE01,2024M3,15805,9977
DT06-6S-CE02,2024M3,3085,2390
DT06-6S-CE05,2024M3,115850,117248
DT06-6S-CE06,2024M3,152258,199846
DT06-6S-CE13,2024M3,28569,16321
DT06-6S-E004,2024M3,3415,6797
DT06-6S-E008,2024M3,9192,2970
DT06-6S-EP06,2024M3,77095,99024
DT06-6S-EP11,2024M3,11806,8291
DT06-6S-P004,2024M3,4919,6008
DT06-6S-P012,2024M3,93531,135637
DT13-08PA,2024M3,30952,8439
DT13-08PB,2024M3,7082,1196
DT13-08PC,2024M3,26,5
DT13-08PD,2024M3,0,0
DT13-12PA,2024M3,48494,9660
DT13-12PA-B016,2024M3,3537,639
DT13-12PA-G003,2024M3,87,9
DT13-12PB,2024M3,17010,3709
DT13-12PB-B016,2024M3,9429,1863
DT13-12PC,2024M3,3835,1071
DT13-12PC-B016,2024M3,12878,2682
DT13-12PD,2024M3,3499,608
DT13-12PD-B016,2024M3,1758,334
DT13-2P,2024M3,3625,1293
DT13-48PABCD-R015,2024M3,112771,2776
DT13-4P,2024M3,16178,4574
DT13-6P,2024M3,78248,19593
DT15-08PA,2024M3,45019,12534
DT15-08PA-G003,2024M3,2237,300
DT15-08PD,2024M3,13,3
DT15-12PA,2024M3,67747,17439
DT15-12PA-B016,2024M3,4158,1006
DT15-12PA-B028,2024M3,15481,3567
DT15-12PA-G003,2024M3,0,0
DT15-12PB,2024M3,13062,2567
DT15-12PB-B016,2024M3,1703,378
DT15-12PC,2024M3,10620,2073
DT15-12PC-B016,2024M3,1565,322
DT15-12PD,2024M3,5267,1156
DT15-2P,2024M3,6245,2069
DT15-2P-P010,2024M3,1544,963
DT15-3P-R009,2024M3,16416,5600
DT15-4P,2024M3,18810,6259
DT15-6P,2024M3,56268,16856
DT15-6P-G003,2024M3,567,58
DT15-6P-GP01,2024M3,4946,1333
DTF13-12PA,2024M3,16298,3603
DTF13-12PA-G003,2024M3,0,0
DTF13-12PB,2024M3,3914,802
DTF13-12PC,2024M3,2996,496
DTF13-12PD,2024M3,4913,657
DTF13-2P,2024M3,4487,1696
DTF13-3P,2024M3,1637,418
DTF13-3P-1939,2024M3,362,97
DTF13-4P,2024M3,14512,5035
DTF13-4P-G003,2024M3,1722,348
DTF13-6P,2024M3,17853,4616
DTF13-6P-G003,2024M3,1617,213
DTF15-12PA,2024M3,56737,16191
DTF15-12PA-G003,2024M3,388,57
DTF15-12PB,2024M3,22213,7092
DTF15-12PB-G003,2024M3,0,0
DTF15-12PC,2024M3,20106,7192
DTM04-08PA,2024M3,56658,38352
DTM04-08PA-E003,2024M3,627,381
DTM04-08PA-E005,2024M3,15006,13297
DTM04-08PA-EE04,2024M3,1051,595
DTM04-08PA-EE08,2024M3,0,0
DTM04-08PB,2024M3,9920,5031
DTM04-08PD,2024M3,389,144
DTM04-12PA,2024M3,127475,80188
DTM04-12PA-E003,2024M3,11380,5401
DTM04-12PA-L012,2024M3,7855,2065
DTM04-12PB,2024M3,23785,12926
DTM04-12PB-L012,2024M3,1604,312
DTM04-12PC,2024M3,3255,1263
DTM04-12PD,2024M3,10432,5260
DTM04-12PD-EE04,2024M3,881,654
DTM04-12PD-L012,2024M3,295,81
DTM04-2P-E003,2024M3,7969,12350
DTM04-2P-E005,2024M3,6171,6006
DTM04-2P-E007,2024M3,8494,7557
DTM04-2P-EE03,2024M3,1421,1504
DTM04-2P-EP10,2024M3,114906,57511
DTM04-2P-P006,2024M3,35044,15173
DTM04-2P-P007,2024M3,53292,9709
DTM04-3P,2024M3,72687,110057
DTM04-3P-E003,2024M3,4737,5015
DTM04-3P-E004,2024M3,7808,10413
DTM04-4P,2024M3,145506,177027
DTM04-4P-E003,2024M3,29937,24273
DTM04-4P-E004,2024M3,13601,13364
DTM04-4P-E005,2024M3,3728,2259
DTM04-6P-E003,2024M3,20499,12235
DTM04-6P-E005,2024M3,38046,22938
DTM06-08SA,2024M3,38187,46666
DTM06-08SA-E007,2024M3,1331,830
DTM06-08SA-EE04,2024M3,3392,2513
DTM06-08SA-EE08,2024M3,2538,1507
DTM06-08SB,2024M3,6662,4905
DTM06-08SC,2024M3,13,6
DTM06-12SA,2024M3,198655,176926
DTM06-12SA-E003,2024M3,3405,2414
DTM06-12SA-E007,2024M3,21392,13049
DTM06-12SB,2024M3,69682,55689
DTM06-12SB-E007,2024M3,7213,3416
DTM06-12SC,2024M3,16096,13278
DTM06-12SC-E007,2024M3,856,354
DTM06-12SD,2024M3,17797,14158
DTM06-12SD-EE04,2024M3,1280,908
DTM06-2S,2024M3,98048,346753
DTM06-2S-E003,2024M3,2658,4203
DTM06-2S-E004,2024M3,12052,41644
DTM06-2S-E005,2024M3,6546,6521
DTM06-2S-E007,2024M3,18694,27801
DTM06-2S-EP10,2024M3,12586,6334
DTM06-2S-P006,2024M3,33603,20146
DTM06-3S,2024M3,55027,112734
DTM06-3S-C017,2024M3,1851,2400
DTM06-3S-E004,2024M3,6612,11185
DTM06-3S-E007,2024M3,16408,20793
DTM06-4S-E004,2024M3,9273,12780
DTM06-4S-E007,2024M3,12338,9413
DTM06-6S,2024M3,98557,139038
DTM06-6S-C017,2024M3,1791,1800
DTM06-6S-E004,2024M3,10892,13070
DTM06-6S-E005,2024M3,10701,9150
DTM06-6S-E007,2024M3,22229,19990
DTM06-6S-EE03,2024M3,1196,832
DTM06-6S-EE04,2024M3,1573,2412
DTM13-08PA-R004,2024M3,1806,188
DTM13-12PA,2024M3,45102,8186
DTM13-12PA-G003,2024M3,13412,1820
DTM13-12PA-GR01,2024M3,5581,284
DTM13-12PA-NP02,2024M3,620,90
DTM13-12PA-R008,2024M3,83794,11893
DTM13-12PB,2024M3,2634,354
DTM13-12PB-R008,2024M3,3255,307
DTM1312PA12PBGR01,2024M3,723,29
DTM1312PA12PBR008,2024M3,217973,20590
DTM1312PA12PCR008,2024M3,10421,877
DTM1312PC12PBR008,2024M3,9832,1132
DTM1312PC12PDR008,2024M3,42597,4677
DTM15-12PA,2024M3,50350,10091
DTM15-12PA-G003,2024M3,1333,158
DTM15-12PB,2024M3,13744,2386
DTMF15-48P,2024M3,19131,2300
DTMH06-2SA,2024M3,78941,209371
DTP04-2P-CE01,2024M3,0,0
DTP04-2P-CE02,2024M3,0,0
DTP04-2P-E003,2024M3,27169,15597
DTP04-2P-EE01,2024M3,2679,1254
DTP04-4P,2024M3,130317,63856
DTP04-4P-C015,2024M3,33054,24849
DTP04-4P-E003,2024M3,28277,15576
DTP04-4P-E004,2024M3,6615,2707
DTP06-2S-CE01,2024M3,2401,1019
DTP06-2S-E003,2024M3,40815,31985
DTP06-2S-EE01,2024M3,721,256
DTP06-4S-E003,2024M3,22565,13149
DTP06-4S-EE01,2024M3,3461,1079
DTP10-4P,2024M3,9148,1141
DTP13-4P,2024M3,9343,951
DTP15-4P,2024M3,4539,435
HD10-9-96P-N005,2024M3,3192,528
HD34-18-14PE,2024M3,59059,7390
HD34-18-14PE-072,2024M3,8224,765
HD34-18-14PN,2024M3,65951,7966
HD34-18-14PN-059,2024M3,71485,4544
HD34-18-14PN-072,2024M3,1795,169
HD34-18-14PT,2024M3,129,9
HD34-18-14SE,2024M3,6895,755
HD34-18-14SE-059,2024M3,3625,202
HD34-18-14SN,2024M3,3304,295
HD34-18-20PN,2024M3,6698,614
HD34-18-20SN,2024M3,3763,392
HD34-18-21PN,2024M3,14056,1822
HD34-18-21SN,2024M3,7964,748
HD34-18-6PN,2024M3,4504,523
HD34-18-6SN,2024M3,239,24
HD34-18-8PE,2024M3,3728,359
HD34-18-8PN,2024M3,7543,889
HD34-18-8SE,2024M3,1085,97
HD34-18-8SN,2024M3,3717,444
HD34-24-14PE,2024M3,962,106
HD34-24-14SN,2024M3,3841,409
HD34-24-16PE,2024M3,9846,1178
HD34-24-16PE-059,2024M3,1853,113
HD34-24-16PN,2024M3,5582,632
HD34-24-16SN,2024M3,2637,281
HD34-24-16SN-059,2024M3,207,14
HD34-24-16SN-072,2024M3,762,60
HD34-24-16SN-L005,2024M3,49,5
HD34-24-19PE,2024M3,30533,3471
HD34-24-19PN,2024M3,2679,286
HD34-24-19PN-059,2024M3,1850,93
HD34-24-19SE-059,2024M3,965,55
HD34-24-19SN,2024M3,2117,219
HD34-24-21PE-059,2024M3,3146,186
HD34-24-21PN,2024M3,7208,854
HD34-24-21SE,2024M3,1915,177
HD34-24-21SE-059,2024M3,8052,351
HD34-24-21SN,2024M3,5120,510
HD34-24-23PE,2024M3,15791,1822
HD34-24-23PE-059,2024M3,2362,81
HD34-24-23PE-R010,2024M3,1817,200
HD34-24-23PN,2024M3,14027,1434
HD34-24-23PN-059,2024M3,15987,824
HD34-24-23SE,2024M3,10393,1136
HD34-24-23SE-059,2024M3,2624,109
HD34-24-23SN,2024M3,4242,472
HD34-24-23SN-059,2024M3,1314,66
HD34-24-23SN-072,2024M3,384,29
HD34-24-23ST,2024M3,5046,576
HD34-24-29PE,2024M3,9153,887
HD34-24-29SE,2024M3,3614,450
HD34-24-31PE,2024M3,51493,5587
HD34-24-31PE-059,2024M3,5884,367
HD34-24-31PE-L005,2024M3,222,15
HD34-24-31PT,2024M3,25424,2809
HD34-24-31PT-059,2024M3,10451,528
HD34-24-31PT-072,2024M3,462,39
HD34-24-31PT-B019,2024M3,54124,1591
HD34-24-31SE,2024M3,12458,1603
HD34-24-31SE-059,2024M3,2613,96
HD34-24-31ST,2024M3,5716,579
HD34-24-31ST-059,2024M3,2461,106
HD34-24-35PN,2024M3,1486,117
HD34-24-35SN,2024M3,2885,242
HD34-24-47PE,2024M3,134279,13104
HD34-24-47PE-059,2024M3,3732,119
HD34-24-47PE-072,2024M3,1440,103
HD34-24-47SE,2024M3,8175,773
HD34-24-91PE,2024M3,17001,1946
HD34-24-91PE-059,2024M3,1814,100
HD34-24-91PN,2024M3,8692,902
HD34-24-91PN-059,2024M3,4012,247
HD34-24-91PN-072,2024M3,2097,118
HD34-24-9PN,2024M3,17593,1841
HD36-18-14PE,2024M3,7329,782
HD36-18-14PE-059,2024M3,5672,209
HD36-18-14PN,2024M3,1009,91
HD36-18-14PN-059,2024M3,3490,184
HD36-18-14SE,2024M3,25668,2645
HD36-18-14SE-059,2024M3,15179,876
HD36-18-14SE-072,2024M3,929,64
HD36-18-14SN,2024M3,18236,1734
HD36-18-14SN-059,2024M3,75400,4203
HD36-18-14SN-072,2024M3,19260,1395
HD36-18-20PN,2024M3,13517,1195
HD36-18-20SN,2024M3,2248,172
HD36-18-20SN-059,2024M3,7174,318
HD36-18-21PN,2024M3,6967,683
HD36-18-21SN,2024M3,7306,891
HD36-18-21SN-059,2024M3,6535,292
HD36-18-21SN-072,2024M3,0,0
HD36-18-6SN-C030,2024M3,812,49
HD36-18-8PE,2024M3,747,73
HD36-18-8PN,2024M3,2426,241
HD36-18-8SN,2024M3,6416,567
HD36-18-8SN-059,2024M3,11216,567
HD36-18-8SN-072,2024M3,0,0
HD36-24-14SE,2024M3,576,65
HD36-24-14SN,2024M3,0,0
HD36-24-14SN-059,2024M3,0,0
HD36-24-16PN,2024M3,1196,82
HD36-24-16PN-059,2024M3,1088,42
HD36-24-16SE,2024M3,130,14
HD36-24-16SE-072,2024M3,0,0
HD36-24-16SN,2024M3,7315,749
HD36-24-16SN-059,2024M3,3522,182
HD36-24-18PE,2024M3,0,0
HD36-24-18PN,2024M3,2763,282
HD36-24-18SN,2024M3,2345,195
HD36-24-19PE-059,2024M3,467,20
HD36-24-19SE,2024M3,0,0
HD36-24-19SE-072,2024M3,42251,4017
HD36-24-19SN,2024M3,2503,245
HD36-24-19SN-059,2024M3,3356,152
HD36-24-21PE,2024M3,1527,134
HD36-24-21PE-059,2024M3,7846,330
HD36-24-21PE-072,2024M3,29,2
HD36-24-21PN-059,2024M3,1763,57
HD36-24-21SE,2024M3,947,91
HD36-24-21SE-059,2024M3,4719,209
HD36-24-21SN,2024M3,3149,353
HD36-24-21SN-059,2024M3,1729,88
HD36-24-21SN-072,2024M3,1952,173
HD36-24-23PE,2024M3,2414,164
HD36-24-23PE-059,2024M3,3691,120
HD36-24-23PE-072,2024M3,771,35
HD36-24-23PE-L006,2024M3,796,35
HD36-24-23PN,2024M3,7159,695
HD36-24-23PN-072,2024M3,4235,278
HD36-24-23SE,2024M3,16316,1698
HD36-24-23SE-059,2024M3,4435,180
HD36-24-23SE-L005,2024M3,34,2
HD36-24-23SN,2024M3,6308,611
HD36-24-23SN-059,2024M3,14264,675
HD36-24-23SN-072,2024M3,2925,266
HD36-24-29PE,2024M3,5825,423
HD36-24-29SE,2024M3,8433,805
HD36-24-29SE-059,2024M3,3856,215
HD36-24-29SE-L005,2024M3,0,0
HD36-24-31PE,2024M3,16034,1718
HD36-24-31PE-059,2024M3,4973,183
HD36-24-31PE-072,2024M3,4111,156
HD36-24-31PT,2024M3,6907,539
HD36-24-31PT-059,2024M3,3148,132
HD36-24-31PT-072,2024M3,77,5
HD36-24-31SE,2024M3,26152,2180
HD36-24-31SE-059,2024M3,56959,2436
HD36-24-31SE-072,2024M3,3519,145
HD36-24-31SE-B019,2024M3,12624,601
HD36-24-31SE-L005,2024M3,7683,304
HD36-24-31ST,2024M3,16608,1592
HD36-24-31ST-059,2024M3,18478,806
HD36-24-31ST-072,2024M3,1126,81
HD36-24-31ST-B019,2024M3,12496,442
HD36-24-31ST-L006,2024M3,128,4
HD36-24-33PN,2024M3,8,0
HD36-24-33PN-059,2024M3,2221,78
HD36-24-33SN,2024M3,590,52
HD36-24-33SN-059,2024M3,379,16
HD36-24-35PN,2024M3,3915,347
HD36-24-35PN-059,2024M3,1106,44
HD36-24-47PE,2024M3,8717,780
HD36-24-47SE,2024M3,99181,11374
HD36-24-47SE-059,2024M3,9106,382
HD36-24-47SE-072,2024M3,2645,125
HD36-24-47SE-L005,2024M3,13811,467
HD36-24-91SN,2024M3,0,0
HD36-24-91SN-059,2024M3,12913,661
HD36-24-9PN-059,2024M3,166,8
HD36-24-9SN,2024M3,12679,1272
HDB36-18-14PE-059,2024M3,934,36
HDB36-18-14SN,2024M3,161,10
HDB36-24-18PN-059,2024M3,1612,49
HDB36-24-31SE-059,2024M3,14940,447
HDB36-24-91SE-059,2024M3,38431,1606
HDB36-24-91SN-059,2024M3,36873,1706
HDP24-18-14PE,2024M3,73082,13585
HDP24-18-14PE-L017,2024M3,12374,1571
HDP24-18-14PN,2024M3,23599,4149
HDP24-18-14PN-L017,2024M3,778,64
HDP24-18-14SE,2024M3,14527,2473
HDP24-18-14SE-L017,2024M3,110403,33074
HDP24-18-14SN,2024M3,9606,1558
HDP24-18-20PE,2024M3,5965,954
HDP24-18-20PE-L017,2024M3,6326,644
HDP24-18-20PN,2024M3,25317,4589
HDP24-18-20SN,2024M3,4224,696
HDP24-18-21PN,2024M3,19692,3154
HDP24-18-21PN-L017,2024M3,3605,436
HDP24-18-21SN,2024M3,4493,783
HDP24-18-21SN-L017,2024M3,1213,89
HDP24-18-6PN,2024M3,19791,3217
HDP24-18-6PN-C030,2024M3,21036,3232
HDP24-18-6PN-L017,2024M3,10568,1352
HDP24-18-8PE,2024M3,8934,1330
HDP24-18-8PE-L017,2024M3,3059,423
HDP24-18-8PN,2024M3,6221,1028
HDP24-18-8SE,2024M3,1356,182
HDP24-18-8SN,2024M3,9588,1636
HDP24-24-14PE,2024M3,108,14
HDP24-24-14PN,2024M3,4862,637
HDP24-24-14SN,2024M3,7065,1067
HDP24-24-14SN-L017,2024M3,696,132
HDP24-24-16PE,2024M3,25980,3888
HDP24-24-16PE-L017,2024M3,16099,1979
HDP24-24-16PN,2024M3,7724,1078
HDP24-24-16PN-L017,2024M3,623,56
HDP24-24-16SE,2024M3,5819,947
HDP24-24-16SN,2024M3,1790,208
HDP24-24-18PE,2024M3,29676,4362
HDP24-24-18PE-L015,2024M3,2609,297
HDP24-24-18PE-L017,2024M3,11310,1157
HDP24-24-18PN,2024M3,10591,1440
HDP24-24-18PN-L017,2024M3,390,42
HDP24-24-18SE,2024M3,637,78
HDP24-24-18SE-L017,2024M3,2078,190
HDP24-24-18SN,2024M3,1656,216
HDP24-24-19PE,2024M3,64394,9892
HDP24-24-19PE-L015,2024M3,3311,375
HDP24-24-19PE-L017,2024M3,48134,7219
HDP24-24-19PN,2024M3,13625,2056
HDP24-24-19PN-L015,2024M3,304,28
HDP24-24-19PN-L017,2024M3,2040,233
HDP24-24-19SE,2024M3,5396,674
HDP24-24-19SE-L015,2024M3,951,124
HDP24-24-19SE-L017,2024M3,6575,670
HDP24-24-19SN,2024M3,8096,1251
HDP24-24-19SN-L015,2024M3,0,0
HDP24-24-19SN-L017,2024M3,1851,177
HDP24-24-21PE,2024M3,88553,14366
HDP24-24-21PE-L015,2024M3,4947,532
HDP24-24-21PE-L017,2024M3,10166,1193
HDP24-24-21PN,2024M3,17333,2550
HDP24-24-21PN-L015,2024M3,1558,199
HDP24-24-21PN-L017,2024M3,15574,1561
HDP24-24-21SE,2024M3,9527,1117
HDP24-24-21SE-L015,2024M3,1807,179
HDP24-24-21SE-L017,2024M3,12074,1236
HDP24-24-21SN,2024M3,1177,134
HDP24-24-21SN-L017,2024M3,347,27
HDP24-24-23PE,2024M3,50017,8473
HDP24-24-23PE-L015,2024M3,9106,1175
HDP24-24-23PE-L017,2024M3,31178,4355
HDP24-24-23PN,2024M3,35822,5544
HDP24-24-23PN-L015,2024M3,301,18
HDP24-24-23PN-L017,2024M3,4668,590
HDP24-24-23PT,2024M3,8959,1366
HDP24-24-23SE,2024M3,12032,1502
HDP24-24-23SE-L015,2024M3,13636,1704
HDP24-24-23SE-L017,2024M3,9150,1045
HDP24-24-23SN,2024M3,3788,428
HDP24-24-23SN-L017,2024M3,1250,118
HDP24-24-23ST,2024M3,871,70
HDP24-24-29PE,2024M3,100851,16087
HDP24-24-29PE-L015,2024M3,22183,2644
HDP24-24-29PE-L017,2024M3,32321,4456
HDP24-24-29SE,2024M3,25518,3317
HDP24-24-29SE-L015,2024M3,11559,1604
HDP24-24-29SE-L017,2024M3,11348,1096
HDP24-24-31PE,2024M3,144772,26302
HDP24-24-31PE-L015,2024M3,31886,3824
HDP24-24-31PE-L017,2024M3,90368,11731
HDP24-24-31PT,2024M3,52109,9223
HDP24-24-31PT-L015,2024M3,619,52
HDP24-24-31PT-L017,2024M3,9766,1063
HDP24-24-31SE,2024M3,54597,8245
HDP24-24-31SE-L015,2024M3,3996,425
HDP24-24-31SE-L017,2024M3,40171,4667
HDP24-24-31ST,2024M3,44996,7879
HDP24-24-31ST-L017,2024M3,2571,293
HDP24-24-33PN,2024M3,3519,508
HDP24-24-33SN,2024M3,969,90
HDP24-24-33SN-L015,2024M3,1159,108
HDP24-24-33SN-L017,2024M3,887,77
HDP24-24-35PE,2024M3,8556,1213
HDP24-24-35PE-L015,2024M3,6346,632
HDP24-24-35PE-L017,2024M3,1069,150
HDP24-24-35PN,2024M3,18892,2683
HDP24-24-35PN-L015,2024M3,975,104
HDP24-24-35PN-L017,2024M3,1386,174
HDP24-24-35SE,2024M3,0,0
HDP24-24-35SN-L017,2024M3,196,20
HDP24-24-47PE,2024M3,117574,18795
HDP24-24-47PE-L015,2024M3,10596,1075
HDP24-24-47PE-L017,2024M3,72656,11697
HDP24-24-47SE,2024M3,71437,9130
HDP24-24-47SE-L015,2024M3,1067,95
HDP24-24-47SE-L017,2024M3,17586,1815
HDP24-24-7PN-C038,2024M3,10631,1241
HDP24-24-91PE-L015,2024M3,7864,692
HDP24-24-91PN-P064,2024M3,5584,492
HDP24-24-9PE,2024M3,36649,6052
HDP24-24-9PE-L015,2024M3,1946,200
HDP24-24-9PE-L017,2024M3,5064,679
HDP24-24-9PN,2024M3,15471,2076
HDP24-24-9SE,2024M3,7052,818
HDP24-24-9SN,2024M3,1682,241
HDP24-24-9SN-L015,2024M3,0,0
HDP26-18-14PE,2024M3,7999,1025
HDP26-18-14PE-L017,2024M3,92920,24715
HDP26-18-14PN,2024M3,10915,1560
HDP26-18-14SE,2024M3,40938,6458
HDP26-18-14SE-L015,2024M3,5335,719
HDP26-18-14SE-L017,2024M3,53418,6916
HDP26-18-14SN,2024M3,12663,2029
HDP26-18-14SN-L017,2024M3,7865,1042
HDP26-18-20PN,2024M3,1543,162
HDP26-18-20SE,2024M3,3313,496
HDP26-18-20SE-L017,2024M3,12907,1301
HDP26-18-20SN,2024M3,19441,3201
HDP26-18-20SN-L017,2024M3,144,16
HDP26-18-21PN,2024M3,6030,750
HDP26-18-21PN-L017,2024M3,2674,333
HDP26-18-21SN,2024M3,29899,3337
HDP26-18-21SN-L017,2024M3,14209,1508
HDP26-18-6SN,2024M3,16088,2523
HDP26-18-6SN-C030,2024M3,14859,2049
HDP26-18-6SN-L017,2024M3,15513,1913
HDP26-18-8PN,2024M3,12189,1768
HDP26-18-8PN-L017,2024M3,1478,100
HDP26-18-8SE,2024M3,3737,438
HDP26-18-8SE-L017,2024M3,8803,1276
HDP26-18-8SN,2024M3,8895,1085
HDP26-24-14PN,2024M3,13248,1490
HDP26-24-14SE-L017,2024M3,854,104
HDP26-24-14SN,2024M3,4809,563
HDP26-24-14SN-L015,2024M3,3,0
HDP26-24-14SN-L017,2024M3,598,43
HDP26-24-16PE-L015,2024M3,2433,322
HDP26-24-16PE-L017,2024M3,5518,445
HDP26-24-16PN,2024M3,1510,118
HDP26-24-16PN-L015,2024M3,800,79
HDP26-24-16SE,2024M3,36601,4558
HDP26-24-16SE-L015,2024M3,7287,698
HDP26-24-16SE-L017,2024M3,9974,1213
HDP26-24-16SN,2024M3,12323,1566
HDP26-24-16SN-L015,2024M3,89,6
HDP26-24-16SN-L017,2024M3,1018,82
HDP26-24-18PE-L017,2024M3,2893,227
HDP26-24-18PN,2024M3,1112,125
HDP26-24-18PN-L015,2024M3,0,0
HDP26-24-18SE,2024M3,32354,4159
HDP26-24-18SE-L015,2024M3,6071,650
HDP26-24-18SE-L017,2024M3,16752,1686
HDP26-24-18SN,2024M3,16968,2292
HDP26-24-19PE,2024M3,7016,867
HDP26-24-19PE-L017,2024M3,10566,929
HDP26-24-19PN,2024M3,16539,2384
HDP26-24-19PN-L017,2024M3,1274,118
HDP26-24-19SE,2024M3,60617,8095
HDP26-24-19SE-L015,2024M3,25124,2560
HDP26-24-19SE-L017,2024M3,55245,6765
HDP26-24-19SN,2024M3,11528,1467
HDP26-24-19SN-L015,2024M3,1996,208
HDP26-24-19SN-L017,2024M3,5797,645
HDP26-24-21PE,2024M3,6582,639
HDP26-24-21PE-L015,2024M3,6118,538
HDP26-24-21PE-L017,2024M3,14374,1434
HDP26-24-21PN,2024M3,8149,838
HDP26-24-21PN-L015,2024M3,106,7
HDP26-24-21PN-L017,2024M3,850,76
HDP26-24-21SE,2024M3,64531,8435
HDP26-24-21SE-L015,2024M3,17766,2209
HDP26-24-21SE-L017,2024M3,24586,2962
HDP26-24-21SN,2024M3,19169,2461
HDP26-24-21SN-L017,2024M3,10962,1038
HDP26-24-23PE,2024M3,8428,884
HDP26-24-23PE-L015,2024M3,18755,2345
HDP26-24-23PE-L017,2024M3,17410,1756
HDP26-24-23PN,2024M3,5219,678
HDP26-24-23PN-L017,2024M3,4220,336
HDP26-24-23SE,2024M3,58038,8771
HDP26-24-23SE-L015,2024M3,12799,1395
HDP26-24-23SE-L017,2024M3,84006,9315
HDP26-24-23SN,2024M3,24533,3418
HDP26-24-23SN-L015,2024M3,9534,997
HDP26-24-23SN-L017,2024M3,8102,997
HDP26-24-23ST,2024M3,12263,1624
HDP26-24-29PE,2024M3,17375,2117
HDP26-24-29PE-L015,2024M3,16838,2236
HDP26-24-29PE-L017,2024M3,14924,1437
HDP26-24-29SE,2024M3,99534,14436
HDP26-24-29SE-L015,2024M3,20239,2231
HDP26-24-29SE-L017,2024M3,72850,7649
HDP26-24-31PE,2024M3,40143,5664
HDP26-24-31PE-L015,2024M3,10981,994
HDP26-24-31PE-L017,2024M3,48209,5302
HDP26-24-31PT,2024M3,38371,5870
HDP26-24-31PT-L015,2024M3,3195,234
HDP26-24-31PT-L017,2024M3,7968,1036
HDP26-24-31SE,2024M3,146213,23290
HDP26-24-31SE-L015,2024M3,41556,4249
HDP26-24-31SE-L017,2024M3,146093,17769
HDP26-24-31ST,2024M3,58848,9142
HDP26-24-31ST-L015,2024M3,4687,596
HDP26-24-31ST-L017,2024M3,13826,1677
HDP26-24-33PN-L015,2024M3,2347,186
HDP26-24-33PN-L017,2024M3,841,69
HDP26-24-33SN,2024M3,2064,233
HDP26-24-33SN-L017,2024M3,2102,199
HDP26-24-35PN,2024M3,1492,152
HDP26-24-35PN-L015,2024M3,0,0
HDP26-24-35PN-L017,2024M3,834,53
HDP26-24-35SE,2024M3,2737,373
HDP26-24-35SE-L015,2024M3,2672,238
HDP26-24-35SN,2024M3,25081,3397
HDP26-24-35SN-L015,2024M3,1214,109
HDP26-24-35SN-L017,2024M3,10809,943
HDP26-24-47PE,2024M3,27230,3268
HDP26-24-47PE-L015,2024M3,6687,628
HDP26-24-47PE-L017,2024M3,56907,5502
HDP26-24-47SE,2024M3,99007,14775
HDP26-24-47SE-L015,2024M3,15895,1532
HDP26-24-47SE-L017,2024M3,86822,11342
HDP26-24-7SN-C038,2024M3,18640,1947
HDP26-24-91SE-L015,2024M3,12865,824
HDP26-24-91SN-P064,2024M3,4820,467
HDP26-24-9PE,2024M3,5286,516
HDP26-24-9PE-L017,2024M3,431,28
HDP26-24-9PN,2024M3,1072,122
HDP26-24-9SE,2024M3,63731,9941
HDP26-24-9SE-L015,2024M3,2167,243
HDP26-24-9SE-L017,2024M3,24988,2402
HDP26-24-9SN,2024M3,18789,2481
HDP26-24-9SN-L015,2024M3,13,1
HDP26-24-9SN-L017,2024M3,5426,480
K1000090,2024M3,1521,17
K1002401,2024M3,990,10
K1002456,2024M3,0,0
K1002698,2024M3,2771,100
K1006083,2024M3,14271,169
K1006114,2024M3,3654,50
K1008698,2024M3,2997,22
K1008783,2024M3,0,0
K1008808,2024M3,23018,174
K1009219,2024M3,0,0
K1009319,2024M3,10652,10
K1009404,2024M3,15154,94
K1009421,2024M3,17176,98
K1010788,2024M3,21688,318
K1010834,2024M3,1865,26
K1012050,2024M3,0,0
K1012081,2024M3,1867,20
K1012888,2024M3,7963,58
K1012916,2024M3,0,0
K1012918,2024M3,8589,107
K1013120,2024M3,13942,121
K1013134,2024M3,9454,18
K1013135,2024M3,10417,1210
K1013137,2024M3,13436,26
K1013398,2024M3,2805,26
K1013399,2024M3,4513,35
K1013507,2024M3,838,37
K1013577,2024M3,19148,151
K1013583,2024M3,0,0
K1013592,2024M3,1877,15
K1013636,2024M3,9671,20
K1013637,2024M3,0,0
K1013760,2024M3,7749,29
K1013769,2024M3,39180,74
K1014846,2024M3,11082,47
K1014959,2024M3,0,0
K1016715,2024M3,22571,48
K1016815,2024M3,2668,16
K1018833,2024M3,1034,1
K1018878,2024M3,0,0
K1018968,2024M3,0,0
K1019293,2024M3,1629,6
K1020096,2024M3,0,0
K1020908,2024M3,12924,181
K1021043,2024M3,5536,55
K1021390,2024M3,0,0
K1021410,2024M3,11576,164
K1021419,2024M3,3274,42
K1021427,2024M3,23078,356
K1021430,2024M3,16987,32
K1023465,2024M3,6215,87
K1023490,2024M3,4126,81
K1023979,2024M3,0,0
K1024563,2024M3,0,0
K1024631,2024M3,5238,25
K1040530,2024M3,0,0
K1040643,2024M3,0,0
K1040679,2024M3,0,0
K1041174,2024M3,1325,9
K1042065,2024M3,0,0
K1050031,2024M3,2714,5
K1050098,2024M3,53016,157
K1050124,2024M3,0,0
K1050172,2024M3,6046,75
K1050201,2024M3,1441,18
K1050364,2024M3,33800,130
K1050558,2024M3,765,8
